time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
7.5,-0.348983361540216,-2.64434677949642,3.52391933918917,-0.086549979819076,1.87553091768132,1,0.999637396434905,-0.349065850398866,-0.349814620113837,-2.0943951023932,-2.09415642725489,0.000362603565095,0.000748769714971,-0.000238675138308,14.2557516694069,-35.7202172279358,-1.93174164742231
7.6,-0.356871073173452,-2.8628926765929,3.12824339133584,0.240573779697652,2.14595787790302,1,1.00263087403587,-0.349065850398866,-0.351034385917862,-2.0943951023932,-2.09446587533072,-0.002630874035869,0.001968535518997,7.07729375264421E-05,15.1585400104523,-30.9215009212494,-0.918233394622803
7.7,-0.38646955142221,-3.03404905750052,2.7186778471994,0.585108178361576,2.36579177143326,1,1.00119049275085,-0.349065850398866,-0.350067910744313,-2.0943951023932,-2.09391132023971,-0.001190492750853,0.001002060345447,-0.00048378215349,14.2903670668602,-36.4253461360931,-2.95537207275629
7.8,-0.441216960694134,-3.15780043575701,2.29852921658234,0.939268216132416,2.52763029847754,1,1.00140561485557,-0.349065850398866,-0.351132652172061,-2.0943951023932,-2.09408973702894,-0.00140561485557,0.002066801773195,-0.000305365364259,14.6673798561096,-31.5059781074524,-1.88713129609823
7.9,-0.523496949380838,-3.23475678003561,1.87114300544469,1.295107025604,2.62550547206273,1,0.999461692701079,-0.349065850398866,-0.350080251522381,-2.0943951023932,-2.09391997268107,0.000538307298921,0.001014401123515,-0.000475129712127,14.2882615327835,-34.4058811664581,-4.35823239386082
8,-0.63458286689632,-3.26612796563951,1.43987802915049,1.64465958487945,2.65499485337697,1,1.00357850388881,-0.349065850398866,-0.349815125570149,-2.0943951023932,-2.09532405485848,-0.003578503888805,0.000749275171283,0.000928952465289,15.6828820705414,-35.5573654174805,-1.15798134356737
8.1,-0.774613020375574,-3.25369079464089,1.00808082594303,1.98008570005222,2.61329703602267,1,1.00048132392875,-0.349065850398866,-0.350132327242391,-2.0943951023932,-2.09548449999666,-0.00048132392875,0.001066476843525,0.001089397603464,14.3276825547218,-34.6110701560974,-2.40680743008852
8.2,-0.942597135560206,-3.19974916826095,0.579060365661229,2.29380985629532,2.49927048338197,1,0.99983721117511,-0.349065850398866,-0.349963096668561,-2.0943951023932,-2.0956311315785,0.00016278882489,0.000897246269695,0.0012360291853,14.9691358208656,-35.4339569807053,-3.50832007825375
8.3,-1.13645341905143,-3.10708807799322,0.156063245337209,2.5786556036821,2.31343563567555,1,1.00175772133212,-0.349065850398866,-0.349934846971734,-2.0943951023932,-2.09673091277743,-0.001757721332121,0.000868996572869,0.002335810384232,15.7100141048431,-35.2029860019684,-1.47726405411959
8.4,-1.35307487397245,-2.97892215469209,-0.257750441524618,2.82797224903773,2.05794100212867,1,1.00385061919744,-0.349065850398866,-0.349697296339188,-2.0943951023932,-2.09715674986116,-0.003850619197441,0.000631445940322,0.002761647467962,16.0085320472717,-37.441748380661,-0.658445339649916
8.5,-1.58842281552879,-2.8188395765133,-0.659330381447968,3.03575176644058,1.73649472161656,1,0.9976024854014,-0.349065850398866,-0.350385113323586,-2.0943951023932,-2.09657924334253,0.0023975145986,0.00131926292472,0.00218414094934,14.4571289420128,-34.8174899816513,-2.36801337450743
8.6,-1.83764488332946,-2.63074218649661,-1.04575829035539,3.19673401396222,1.35426379586594,1,1.00247864626011,-0.349065850398866,-0.349900770890045,-2.0943951023932,-2.09677746247162,-0.002478646260107,0.000834920491179,0.002382360078425,17.0155093073845,-38.6165112257004,-0.501572247594595
8.7,-2.09521426857191,-2.41878270818357,-1.41426897183163,3.30649854982173,0.917743857663294,1,1.00153713434162,-0.349065850398866,-0.350920738504119,-2.0943951023932,-2.09644540284226,-0.00153713434162,0.001854888105254,0.002050300449064,16.1019310355186,-32.6531529426575,-0.715347332879901
8.8,-2.35508637949278,-2.18729997260094,-1.76227003046077,3.36154157381207,0.434602919100328,1,1.0005458589465,-0.349065850398866,-0.349320555944159,-2.0943951023932,-2.09617283603387,-0.000545858946499,0.000254705545293,0.001777733640674,16.3258358836174,-41.8525993824005,-0.932164303958416
8.9,-2.6108687689987,-1.94075308202764,-2.08736009771919,3.35933677568568,-0.086496959891824,1,0.999454020156484,-0.349065850398866,-0.351611822728143,-2.0943951023932,-2.09649017460458,0.000545979843516,0.002545972329277,0.002095072211388,16.5443494915962,-32.7094614505768,2.29527056217194
9,-2.85599985297813,-1.68365543519131,-2.38734544025635,3.29837914684964,-0.636095744042819,1,1.00283177079437,-0.349065850398866,-0.35025172458418,-2.0943951023932,-2.09515344062947,-0.00283177079437,0.001185874185314,0.000758338236276,17.7434951066971,-36.6168022155762,-1.67474653571844
9.1,-3.08393176283643,-1.42050952508074,-2.66025483369324,3.17821110061792,-1.20414460309674,1,0.999216391877279,-0.349065850398866,-0.350063283381393,-2.0943951023932,-2.09599265737115,0.000783608122721,0.000997432982527,0.001597554977956,16.5057808160782,-36.6977989673614,2.84713823348284
9.2,-3.28831260504446,-1.15574339475488,-2.90435259920566,2.99943054458092,-1.78022338094234,1,1.00603953937888,-0.349065850398866,-0.350246001690604,-2.0943951023932,-2.09550577447314,-0.006039539378877,0.001180151291739,0.001110672079942,18.9316973090172,-38.326507806778,1.53833171352744
9.3,-3.4631634450039,-0.893649598888151,-3.11814971502273,2.76368085143252,-2.35376145933025,1,0.995270712044986,-0.349065850398866,-0.351388288892353,-2.0943951023932,-2.09537760488108,0.004729287955014,0.002322438493487,0.000982502487885,15.3879314661026,-31.0550451278687,3.79629284143448
9.4,-3.60304549064913,-0.638327469984114,-3.30041293043939,2.47362297683666,-2.91425715730711,1,1.00234709831204,-0.349065850398866,-0.349306777375177,-2.0943951023932,-2.09422063116881,-0.002347098312039,0.000240926976311,-0.000174471224385,19.2072957754135,-38.5215789079666,3.19265611469746
